414,RADHESH KRISHNA,1:02:01,0:06:13,2355of 8179,2189of 6534,30 to 34 yrs Male
418,SARVESH KEDIA,0:49:00,0:04:54,569of 8179,538of 6534,20 to 24 yrs Male
433,AJAY TALWAR,1:29:41,0:08:59,6805of 8179,5745of 6534,55 to 59 yrs Male
435,ASHOK UPADHYAYA,0:54:28,0:05:27,1161of 8179,1093of 6534,45 to 49 yrs Male
436,SANTOSH DOMINICK,0:47:25,0:04:45,436of 8179,412of 6534,50 to 54 yrs Male
437,SHUBHAM SRIVASTAVA,1:01:59,0:06:12,2349of 8179,2184of 6534,30 to 34 yrs Male
438,ASHISH JOSHI,0:58:15,0:05:50,1666of 8179,1564of 6534,45 to 49 yrs Male
439,UTTAM MALLYA,0:55:14,0:05:32,1263of 8179,1187of 6534,40 to 44 yrs Male
443,BHARGAV PRADHAN,1:11:32,0:07:10,4080of 8179,3666of 6534,35 to 39 yrs Male
449,ASHEESH MITTAL,1:18:05,0:07:49,5211of 8179,4561of 6534,40 to 44 yrs Male
452,GAUTHAM SADASHIVA,0:58:33,0:05:52,1724of 8179,1615of 6534,45 to 49 yrs Male
453,KUNWAR SINGH,0:44:51,0:04:30,261of 8179,251of 6534,35 to 39 yrs Male
463,RAM BHAMIDI,1:20:08,0:08:01,5568of 8179,4840of 6534,45 to 49 yrs Male
472,RAVISHANKAR BALOU,1:17:20,0:07:44,5096of 8179,4473of 6534,35 to 39 yrs Male
482,KIRAN KUMAR C,1:23:46,0:08:23,6085of 8179,5230of 6534,30 to 34 yrs Male
483,TRILOK JAIN,1:05:13,0:06:32,2962of 8179,2718of 6534,35 to 39 yrs Male
489,SACHIN PRAKASH,0:57:55,0:05:48,1609of 8179,1510of 6534,50 to 54 yrs Male
492,VIJAY SRIRAM,0:59:30,0:05:57,1902of 8179,1775of 6534,40 to 44 yrs Male
493,BHARATH S REDDY,1:08:24,0:06:51,3534of 8179,3198of 6534,30 to 34 yrs Male
497,RUHUL LASKAR,1:05:40,0:06:34,3046of 8179,2788of 6534,35 to 39 yrs Male
498,DAVINDER NARANG,1:17:33,0:07:46,5136of 8179,4503of 6534,50 to 54 yrs Male
501,SWAPNIL TAMHANE,1:42:21,0:10:15,7693of 8179,6276of 6534,55 to 59 yrs Male
506,GAUTAM ZALANI,1:04:51,0:06:30,2879of 8179,2642of 6534,45 to 49 yrs Male
513,ASHISH BHARADWAJ D Y,1:11:44,0:07:11,4123of 8179,3702of 6534,30 to 34 yrs Male
514,SRINIVAS CG,1:15:17,0:07:32,4754of 8179,4215of 6534,45 to 49 yrs Male
520,SHOVAN GANGULI,1:11:37,0:07:10,4096of 8179,3680of 6534,60 to 64 yrs Male
524,AJAY GOKHALE,1:14:24,0:07:27,4594of 8179,4094of 6534,30 to 34 yrs Male
532,ADITYA GROVER,1:01:18,0:06:08,2221of 8179,2061of 6534,40 to 44 yrs Male
534,VISHMIT AGRAWAL,1:14:48,0:07:29,4666of 8179,4151of 6534,25 to 29 yrs Male
536,VISHESH MADAN,0:50:04,0:05:01,686of 8179,647of 6534,25 to 29 yrs Male
540,ANANTH RANGARAJAN,1:20:45,0:08:05,5654of 8179,4911of 6534,30 to 34 yrs Male
542,VASUDEV KAMATH,0:48:24,0:04:51,512of 8179,486of 6534,45 to 49 yrs Male
546,KEWAL NADGIR,1:13:18,0:07:20,4381of 8179,3920of 6534,30 to 34 yrs Male
549,DINESH HEDA,0:49:12,0:04:56,589of 8179,557of 6534,50 to 54 yrs Male
561,NAGESH RAMAMURTHY,1:08:11,0:06:50,3492of 8179,3160of 6534,65 to 69 yrs Male
562,DEEPAK MUKUNDAN,0:56:30,0:05:39,1423of 8179,1336of 6534,40 to 44 yrs Male
563,AAKASH PURUSHOTHAMAN,1:07:20,0:06:44,3332of 8179,3029of 6534,30 to 34 yrs Male
574,DILIP PAHADSINGH,1:11:55,0:07:12,4142of 8179,3719of 6534,50 to 54 yrs Male
576,IRFAN KHADAR,1:02:36,0:06:16,2442of 8179,2267of 6534,25 to 29 yrs Male
581,ABHILASH THIMMARAYAPPA,1:28:53,0:08:54,6717of 8179,5680of 6534,30 to 34 yrs Male
584,RAVI VAITHYALINGAM,0:41:10,0:04:07,135of 8179,132of 6534,40 to 44 yrs Male
586,SOMESH KUMAR,1:17:00,0:07:42,5047of 8179,4437of 6534,30 to 34 yrs Male
613,DHARMENDRA D,0:42:02,0:04:13,154of 8179,149of 6534,40 to 44 yrs Male
614,RAMESH KODALI,0:59:53,0:06:00,1967of 8179,1835of 6534,40 to 44 yrs Male
620,AMIT SINGH,1:09:12,0:06:56,3669of 8179,3311of 6534,50 to 54 yrs Male
622,SANTOSH KUMAR THAKUR,0:58:57,0:05:54,1796of 8179,1675of 6534,45 to 49 yrs Male
623,PARESH JAIN,1:25:19,0:08:32,6257of 8179,5352of 6534,45 to 49 yrs Male
625,AMIT SINGH,0:54:50,0:05:29,1206of 8179,1135of 6534,40 to 44 yrs Male
629,GANESH NANDYAL,1:09:56,0:07:00,3806of 8179,3432of 6534,45 to 49 yrs Male
630,NARESH RAWAT,0:36:36,0:03:40,40of 8179,40of 6534,30 to 34 yrs Male
635,HARDIP GOINDI,1:27:57,0:08:48,6598of 8179,5592of 6534,60 to 64 yrs Male
